,filename,Index,Check,Text, Presence confirm
516,,516,True,,
517,,517,True,,
518,,518,True,,
519,,519,True,,
520,,520,True,,
521,,521,True,,
522,,522,True,,
523,,523,True,,
524,,524,True,,
525,,525,True,,
526,,526,True,,
527,,527,True,,
528,,528,True,,
529,,529,True,,
530,,530,True,,
531,,531,True,,
532,,532,True,,
533,,533,True,,
534,,534,True,,
535,,535,True,,
536,,536,True,,
537,southwest_537,537,True,Do not sell or share my personal information,Yes
538,,538,True,,
539,,539,True,,
540,,540,True,,
541,,541,True,,
542,jetblue_542,542,True,Do not sell my personal information,Yes
543,,543,True,,
544,,544,True,,
545,,545,True,,
546,,546,True,,
547,,547,True,,
548,,548,True,,
549,,549,True,,
550,lufthansa_550,550,True,Do not sell my personal information,Yes
551,,551,True,,
552,,552,True,,
553,priceline_553,553,True,Do not sell my personal information,Yes
554,lonelyplanet_554,554,True,Do not sell or share my personal information,Yes
555,skyscanner_555,555,True,Do not sell my personal information,Yes
556,hotwire_556,556,True,Do not sell my personal information,Yes
557,cheapoair_557,557,True,Do not sell my personal information,Yes
558,,558,True,,
559,travelzoo_559,559,True,Do not sell or share my personal information,Yes
560,,560,True,,
561,,561,True,,
562,,562,True,,
563,,563,True,,
564,airfarewatchdog_564,564,True,
565,,565,True,,
566,onetravel_566,566,True,Do not sell my personal information,Yes
567,,567,True,,
568,,568,True,,
569,,569,True,,
570,,570,True,,
571,hilton_571,571,True,Do not sell my personal information,Yes
572,ihg_572,572,True,Do not sell or share my personal information,Yes
573,,573,True,,
574,agoda_574,574,True,Do not sell or share my personal information,Yes
575,,575,True,,
576,choicehotels_576,576,True,Do not sell my personal information,Yes
577,,577,True,,
578,,578,True,,
579,thrillist_579,579,True,Do not sell or share my personal information,Yes
580,timeout_580,580,True,Do not sell my personal information,Yes
581,,581,True,,
582,,582,True,,
583,,583,True,,
584,,584,True,,
585,,585,True,,
586,,586,True,,
587,,587,True,,
588,,588,True,,
589,,589,True,,
590,,590,True,,
591,,591,True,,
592,,592,True,,
593,bestbuy_593,593,True,Do not sell or share my personal information,Yes
594,lg_594,594,True,Do not sell or share my personal information,Yes
595,,595,True,,
596,panasonic_596,596,True,Do not sell my personal information,Yes
597,samsung_597,597,True,Do not sell or share my personal information,Yes
598,keurig_598,598,True,Do not sell or share my personal information,Yes
599,geappliances_599,599,True,Do not sell or share my personal information,Yes
600,,600,True,,
601,,601,True,,
602,whirlpool_602,602,True,Do not sell or share my personal information,Yes
603,abt_603,603,True,Do not sell my personal information,Yes
604,,604,True,,
605,,605,True,,
606,,606,True,,
607,,607,True,,
608,,608,True,,
609,,609,True,,
610,,610,True,,
611,,611,True,,
612,,612,True,,
613,cdw_613,613,True,Do not sell or share my personal information,Yes
614,,614,True,,
615,,615,True,,
616,,616,True,,
617,,617,True,,
618,,618,True,,
619,,619,True,,
620,,620,True,,
621,,621,True,,
622,microcenter_622,622,True,Do not sell my personal information,Yes
623,,623,True,,
624,,624,True,,
625,,625,True,,
626,,626,True,,
627,,627,True,,
628,avg_628,628,True,Do not sell my personal information,Yes
629,norton_629,629,True,Do not sell or share my personal information,Yes
630,,630,True,,
631,avast_631,631,True,Do not sell my personal information,Yes
632,com_632,632,True,Do not sell my personal information,Yes
633,,633,True,,
634,,634,True,,
635,eset_635,635,True,Do not sell or share my personal information,Yes
636,avira_636,636,True,Do not sell or share my personal information,Yes
637,,637,True,,
638,,638,True,,
639,,639,True,,
640,,640,True,,
641,,641,True,,
642,,642,True,,
643,,643,True,,
644,,644,True,,
645,,645,True,,
646,,646,True,,
647,adobe_647,647,True,Do not sell or share my personal information,Yes
648,,648,True,,
649,,649,True,,
650,,650,True,,
651,,651,True,,
652,,652,True,,
653,,653,True,,
654,,654,True,,
655,,655,True,,
656,oracle_656,656,True,Do not sell my personal information,Yes
