,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
83,973,com_973,['Do Not Sell My Personal Information'],[],[],[],[]
84,47,bet9ja_47,[],[],[],[],[]
85,799,carfax_799,[],[],[],[],[]
86,125,bhg_125,[],[],[],[],[]
87,175,credoaction_175,[],[],[],[],[]
88,298,coupons_298,[],['Your Privacy Choices'],[],[],[]
89,557,cheapoair_557,['Do Not Sell My Personal Information'],['Your Privacy Choices'],[],[],[]
90,456,allaboutcircuits_456,[],[],[],[],[]
91,496,competitor_496,[],[],[],[],[]
92,941,coursera_941,[],[],[],[],[]
93,732,brastop_732,[],[],[],[],[]
94,636,avira_636,"['Do Not Sell or Share My Personal Data', '', ""\n                                                        Free forever. We don't sell your data.\n                                                    ""]",[],[],[],[]
95,779,com_779,[],[],[],[],[]
96,685,asos_685,[],[],[],[],[]
97,968,deviantart_968,['Do Not Sell My Personal Information'],[],[],[],[]
98,875,com_875,[],[],[],[],[]
99,414,addgene_414,[],[],[],[],[]
100,509,akamai_509,[],[],[''],[],[]
101,737,com_737,['Do not sell my personal information'],[],[],[],[]
102,483,com_483,[],[],[],[],[]
103,664,cnet_664,"['', '\n      Do Not Sell or Share My Personal Information\n    ']",[],[],[],[]
104,662,com_662,[],[],[],[],[]
105,886,coursera_886,[],[],[],[],[]
106,621,com_621,[],[],[],[],[]
107,641,bitdefender_641,[],[],[],[],[]
108,642,comodo_642,[],[],[],[],[]
109,272,bbb_272,[],[],[],[],[]
110,1046,citi_1046,['Do Not Sell or Share My Personal Information'],[],[],[],[]
111,816,bmwusa_816,[' Do Not Sell My Personal Information'],[],[],[],[]
112,338,doba_338,[],[],[],[],[]
113,96,deviantart_96,['Do Not Sell My Personal Information'],[],[],[],[]
114,271,com_271,[],['Your Privacy Choices'],['Your Opt Out Preference Signal is Honored'],[],[]
115,806,copart_806,[],[],[],[],[]
116,900,com_900,[],[],[],[],[]
117,736,bravissimo_736,[],[],[],[],[]
118,100,allposters_100,[],[' Your Privacy Choices'],[],[],[]
119,1089,allrecipes_1089,['Do Not Sell My Personal Information'],[],[],[],[]
120,548,alaskaair_548,[],[],[],[],[]
121,944,codecademy_944,['Do Not Sell My Personal Information'],[],[],[],[]
122,605,ajmadison_605,[],[],[],[],[]
123,588,com_588,[''],[],[],[],[]
124,904,dice_904,[],[],[],[],[]
125,351,bestbuy_351,"['', 'CA Do Not Sell/Share My Personal Information']",[],"['', 'Targeted Advertising Opt Out']",[],[]
126,1033,com_1033,[],[],[],[],[]
127,402,biomedcentral_402,['Manage cookies/Do not sell my data'],[],[],[],[]
128,479,basketball-reference_479,[],[],[],[],[]
129,253,com_253,[],[],[],[],[]
130,965,azlyrics_965,[],[],[],[],[]
131,797,carsforsale_797,[],[],[],[],[]
132,864,com_864,['California Notice / Do Not Sell My Personal Information'],[],[],[],[]
133,637,broadcom_637,[],[],[],[],[]
134,849,co_849,[],[],[],[],[]
135,1021,cnn_1021,[''],[],[],[],[]
136,925,careerbuilder_925,['Do Not Sell My Personal Information'],[],[],[],[]
137,193,audubon_193,[],[],[],[],[]
138,1071,cigna_1071,[],[],[],[],[]
