,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
26,295,net_295,['Do Not Sell or Share My Personal Information'],[],[],[],[]
27,89,mom365_89,[],[],[],[],[]
28,543,airasia_543,[],[],[],[],[]
29,1059,libertymutual_1059,['Do Not Sell or Share My Personal Information (CA Residents Only)'],['Your California Privacy Choices'],[],[],[]
30,493,active_493,['Do Not Sell My Personal Information'],[],[],[],[]
31,1030,ft_1030,[],[],[],[],[]
32,336,salehoo_336,[],[],[],[],[]
33,69,medicinenet_69,['Do Not Sell My Personal Information'],[],['. I also agree to receive emails from MedicineNet and I understand that I may opt out of MedicineNet subscriptions at any time.\n        '],[],[]
34,215,dogster_215,['DO NOT SELL MY INFORMATION'],[],[],[],[]
35,15,thepioneerwoman_15,[],"['', 'Your Privacy Choices', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
36,42,panerabread_42,[],['\n    \n    Your Privacy Choices\n  '],[],[],[]
37,551,tripadvisor_551,[],[],[],[],[]
38,362,microsoft_362,[],['Your California Privacy Choices'],[],[],[]
39,782,net_782,[],[],[],[],[]
40,776,luxottica_776,['Do not sell or share my personal information'],[],[],[],[]
41,953,com_953,[],[],[],[],[]
42,8,thrillist_8,"['', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
43,400,nature_400,['Manage cookies/Do not sell my data\n                '],[],[],[],[]
44,639,malwarebytes_639,[],[],[],[],[]
45,872,lifeandstylemag_872,"['Do Not Sell', 'Do Not Sell My Personal Information']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch. If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link.']",[],[]
46,1017,wsj_1017,[''],[],[],[],[]
47,573,vrbo_573,[],"['', 'Your Privacy Choices']",[],[],[]
48,299,rakuten_299,['Do Not Sell or Share My Personal Information / Personal Data Opt-out'],[],[],[],[]
49,633,kaspersky_633,['Do not sell or share my personal information'],[],[],[],[]
50,393,jpl_393,[],[],[],[],[]
51,44,tacobell_44,"['', 'Do Not Sell or Share My Personal Information']",[],[],[],[]
52,1066,progressive_1066,['Do Not Sell or Share My Personal Information (CA Residents Only)'],[],[],[],[]
53,718,jared_718,['Do Not Sell My Information'],[],[],[],[]
54,67,nih_67,[],[],[],[],[]
55,140,foxnews_140,[],['Your Privacy Choices'],[],[],[]
56,390,esa_390,[],[],[],[],[]
57,268,yelp_268,[],"['', 'Your Privacy Choices']",[],[],[]
58,694,urbanoutfitters_694,"['', 'Do Not Sell My Personal Info']",[],[''],[''],[]
59,241,librarything_241,[],[],[],[],[]
60,381,space_381,"['', 'Do not sell or share my personal information']",[],[],[],[]
61,926,salary_926,['Do Not Sell or Share My Information'],[],[],[],[]
62,237,goodreads_237,[],[],[],[],[]
63,236,jstor_236,[],[],[],[],[]
