,Index,Word list,Present in div
341,344,['Your Privacy Choices'],True
342,364,['Do Not Sell or Share My Personal Information'],True
343,976,['Your Privacy Choices'],True
344,399,[],False
345,855,['Do Not Sell'],True
346,494,[],False
347,577,[],False
348,996,[],False
349,876,['Do Not Sell or Share My Personal Info'],True
350,1069,[],False
351,709,['Do Not Sell My Info'],True
352,180,['Do Not Sell/Share My Personal Information'],True
353,779,[],False
354,968,['Do Not Sell My Personal Information'],True
355,233,[],False
356,23,[],False
357,572,"['Do Not Sell or Share My Personal Information', '""Do Not Sell or Share My Personal Information""']",True
358,164,['Do Not Sell My Info'],True
359,289,['Do Not Sell My Personal Information'],True
360,355,[],False
361,42,['Your Privacy Choices'],True
362,877,[],False
363,642,[],False
364,711,[],False
365,622,['Do Not Sell My Information'],True
366,11,['Do not Sell or Share My Personal Information'],True
367,398,[],False
368,545,[],False
369,250,['Your Privacy Choices'],True
370,900,[],False
371,56,['Do Not Sell My Personal Information'],True
372,770,[],False
373,290,[],False
374,65,"['Manage your privacy choices', 'Your privacy choices']",True
375,901,[],False
376,539,[],False
377,161,['Do Not Sell or Share My Personal Information'],True
378,789,[],False
379,188,[],False
380,824,['Do Not Sell or Share My Personal Information'],True
381,542,['Do not sell my info'],True
382,422,[],False
383,632,['Do Not Sell or Share My Personal Information'],True
384,629,['Do Not Sell or Share My Personal Data'],True
385,222,[],False
386,673,['Do not sell or share my personal information'],True
387,845,['Do Not Sell or Share My Personal Info'],True
388,270,['Do Not Sell My Personal Information'],True
389,645,['Do Not Sell My Personal Information'],True
390,60,[],False
391,469,[],False
392,53,[],False
393,93,['Do not sell or share my personal information'],True
394,980,[],False
395,5,['Do Not Sell My Personal Information'],True
396,924,['Do Not Sell or Share My Personal Information'],True
397,1065,[],False
398,63,[],False
399,840,[],False
400,213,[],False
401,221,[],False
402,1071,[],False
403,794,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",True
404,33,[],False
405,550,['CCPA / Do Not Sell My Info'],True
406,1029,['California: Do Not Sell My Personal Information'],True
407,509,[],False
408,527,['Opt Out of Third-Party Targeting Cookies'],True
409,610,['Do not sell or share my personal information'],True
410,235,['Do Not Sell My Info'],True
411,922,['Do not sell or share my personal info'],True
412,499,"['Do Not Sell or Share My Personal Information', '""Do Not Sell or Share My Personal Information"" and ""Targeted Advertising"" Opt-Out Rights']",True
413,397,[],False
414,277,['Do not Sell or Share My Personal Information'],True
415,989,[],False
416,384,[],False
417,1,['Do Not Sell My Personal Information'],True
418,573,['Your Privacy Choices'],True
419,586,['Your Privacy Choices'],True
420,374,['Your Privacy Choices'],True
421,420,['Do Not Sell My Personal Information'],True
422,286,[],False
423,650,[],True
424,530,['Your Privacy Choices'],True
425,109,['Do not sell or share my personal information'],True
426,288,[],False
427,429,[],False
428,797,[],False
429,589,[],False
430,559,['DO NOT SELL OR SHARE MY PERSONAL INFORMATION'],True
431,670,['Do Not Sell or Share My Information'],True
432,801,['Do Not Sell My Personal Information'],True
433,986,['Your Privacy Choices'],True
434,278,[],False
435,165,['Your Privacy Choices'],True
436,349,[],False
437,724,[],False
438,117,['Do not sell or share my info'],True
439,863,['Your Privacy Choices'],True
440,1024,[],False
441,327,[],False
442,848,"['Do Not Sell or Share My Personal Information', 'Opt Out of Third-Party Targeting Cookies']",True
443,325,['Do Not Sell My Personal Information'],True
444,687,['Do Not Sell Or Share My Personal Data'],True
445,372,"['Do Not Sell or Share My Personal Information', 'Your Opt Out Preference Signal is Honored']",True
446,1051,[],False
447,189,[],False
448,459,[],False
449,31,['Do Not Sell My Personal Information'],True
450,1079,[],False
451,362,['Your California Privacy Choices'],True
452,507,['Do Not Sell or Share My Personal Info'],True
453,205,['Do Not Sell Or Share My Personal Information'],True
454,465,[],False
455,148,[],False
456,8,['Do Not Sell or Share My Personal Information'],True
457,686,[],False
458,4,"['Do Not Sell or Share My Personal Information', 'You can opt out of receiving promotional emails by clicking My Account and changing your email']",True
459,268,['Your Privacy Choices'],True
460,594,['Do Not Sell or Share My Personal Information'],True
461,705,[],False
462,970,['Do not Sell My Personal Info'],True
463,596,[],False
464,1013,[],False
465,262,[],False
466,664,['Do Not Sell or Share My Personal Information'],True
467,315,[],False
468,780,[],False
469,28,[],False
470,1089,['Do Not Sell My Personal Information'],True
471,1075,[],False
472,301,['Do not sell my personal information'],True
473,513,[],False
474,1059,"['Your California Privacy Choices', 'Do Not Sell or Share My Personal Information (CA Residents Only)']",True
475,412,[],False
476,1007,[],False
477,760,[],False
478,597,['Do Not Sell or Share My Personal information'],True
479,734,[],False
480,691,['Do Not Sell or Share My Personal Info'],True
481,716,[],False
482,921,['Your Privacy Choices'],True
483,720,['Do Not Sell or Share My Personal Information'],True
484,800,"['CA Do Not Sell or Share My Information', 'Offline Do Not Sell or Share My Information', 'Online Do Not Sell or Share My Information', 'Your Opt Out Preference Signal is Honored']",True
485,599,['Do Not Sell Or Share My Personal Information'],True
486,910,[],False
487,990,[],False
488,155,[],False
489,478,['Do Not Sell My Personal Information'],True
490,950,[],False
491,633,['Do not sell or share my personal information'],True
492,1061,"['Your California Privacy Choices', 'Do Not Sell or Share My Personal Information (CA Residents Only)']",True
493,743,[],False
494,569,"['Your Privacy Choices', 'Terms··Sitemap··Privacy··Your Privacy Choices']",True
495,94,[],False
496,191,[],True
497,418,[],False
498,476,[],False
499,939,['Do not sell or share my personal information'],True
500,92,[],False
501,591,['Do Not Sell My Personal Information'],True
502,744,[],False
503,923,[],False
504,107,"['Do Not Sell My Personal Information', 'Do Not Sell Your Info', 'You can request that we Do Not Sell Your Info']",True
505,211,[],False
506,1022,['Do Not Sell My Personal Information'],True
507,984,['Do Not Sell or Share My Personal Info'],True
508,495,[],False
509,707,"['Your Privacy Choices', 'Your Privacy Choices']",True
510,323,[],False
511,1000,[],False
512,528,[],True
513,961,[],False
514,519,[],False
515,490,['Do Not Sell or Share My Personal Information'],True
516,181,[],False
517,237,[],False
518,245,[],False
519,257,[],False
520,317,[],False
521,1008,[],False
522,810,[],False
523,655,[],False
524,607,[],True
525,535,[],False
526,717,['DO NOT SELL OR SHARE MY PERSONAL INFO'],True
527,997,['Do Not Sell'],True
528,677,['Do not sell or share my personal information'],True
529,608,['Your Opt Out Preference Signal is Honored'],True
530,174,[],False
531,635,['Do not sell or share my personal information'],True
532,48,[],False
533,342,[],False
534,937,[],False
535,81,[],False
536,466,[],False
537,531,[],False
538,817,['Your Privacy Choices & Opt-Out Rights'],True
539,869,"['Your Privacy Choices', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",True
540,828,[],False
541,1086,['Do not sell or share my personal information'],True
542,43,['Do Not Sell My Info'],True
543,715,['DO NOT SELL OR SHARE MY PERSONAL INFO'],True
544,809,['Your Privacy Choices'],True
545,703,['Do Not Sell or Share My Personal Information'],True
546,872,['Do Not Sell'],True
547,207,"['My Privacy Choices', 'Do Not Sell/Do Not Share or Opt-Out of Targeted Advertising [PetMD]']",True
548,777,[],False
549,932,['Your Privacy Choices'],True
550,475,[],False
551,831,[],False
552,464,[],False
553,292,[],False
554,432,[],False
555,68,[],False
556,883,[],False
557,947,[],True
558,1011,[],False
559,7,['Do Not Sell or Share My Personal Info'],True
560,792,['Do Not Sell or Share My Personal Information'],True
561,975,[],True
562,945,[],False
563,37,[],True
564,836,['Do not sell my personal information'],True
565,802,[],False
566,369,[],False
567,246,[],False
568,371,[],False
569,402,['Manage cookies/Do not sell my data'],True
