,Index,Filename,Do not sell,Privacy Choice,Opt out,For CA,Do not share
70,142,dailywire_142,['Do Not Sell or Share My Personal Information'],[],[],[],[]
71,12,delish_12,[],"['', 'Your Privacy Choices', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']","['', 'DAA Industry Opt Out', 'Your Privacy Choices: Opt Out of Sale/Targeted Ads']",[],[]
72,4,safeway_4,"['Do Not Sell or Share My Personal Information\n                                            ', 'Do Not Sell or Share My Personal Information']",[],"[' prior to opting in to any of our loyalty programs. From time to time we may\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tcontact you by email with details of offers and special promotions. You can opt out of receiving promotional emails by clicking My Account and changing your email\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tpreferences when you are logged in, or by clicking the Unsubscribe link in the email.\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t']",[],[]
73,26,safeway_26,"['Do Not Sell or Share My Personal Information\n                                            ', 'Do Not Sell or Share My Personal Information']",[],"[' prior to opting in to any of our loyalty programs. From time to time we may\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tcontact you by email with details of offers and special promotions. You can opt out of receiving promotional emails by clicking My Account and changing your email\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tpreferences when you are logged in, or by clicking the Unsubscribe link in the email.\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t']",[],[]
74,209,cesarsway_209,[],[],[],[],[]
75,305,woot_305,[],[],[],[],[]
76,161,com_161,[],[],[''],[],[]
77,341,sunsky-online_341,[],[],[],[],[]
78,244,proquest_244,[],[],[],[],[]
79,94,org_94,[],[],[],[],[]
80,24,trycaviar_24,['Do Not Sell or Share My Personal Information'],[],[],[],[]
81,321,shop_321,['Do Not Sell My Information'],[],[],[],[]
82,232,audible_232,[],['Your Ads Privacy Choices'],[],[],[]
83,231,com_231,['Do Not Sell My Info'],[],[],[],[]
84,254,org_254,[],[],[],[],[]
85,164,dailykos_164,['Do Not Sell My Info'],[],[],[],[]
86,319,mysimon_319,['Do Not Sell My Personal Information'],[],"['\nTo opt out of our use of personal information associated with a device that may be considered “sales,” “sharing” or “targeted advertising,” move the toggle to the left or otherwise select your preferences.  You will need to renew this choice at each Paramount service you visit, if you clear your browser cookies, or if you return to this Paramount service using a different browser or device.\u202f\n\n\n\n\n\n\n\n\n\n\n', '\nTo opt out of our use of personal information associated with the email address you provided to us (such as through account registration, newsletters or marketing subscriptions) in connection with activities that may be considered “sales,” “sharing,” or “targeted advertising,” please submit your request ']",[],[]
87,86,mindbodygreen_86,[],[],[],[],[]
88,115,gardeningknowhow_115,"['Do Not Sell Or Share My Personal Information', 'Do not sell or share my personal information.']",[],[],[],[]
89,315,tada_315,[],['\n                                            Your Privacy Choices\n                                        '],[],[],[]
90,198,hillspet_198,['Do Not Sell My Personal Information'],[],[],[],[]
91,309,tada_309,[],['\n                                            Your Privacy Choices\n                                        '],[],[],[]
92,70,cdc_70,[],[],[],[],[]
93,19,seamless_19,"['Do Not Sell My Information', 'Do Not Sell My Personal Information']",[],"['Under the California Consumer Privacy Act, you have the right to opt-out of the sale of your personal information to third parties. These cookies collect information for analytics and to personalize your experience with targeted ads. You may exercise your right to opt out of the sale of personal information by using this toggle switch.\n                If you opt out we will not be able to offer you personalised ads and will not hand over your personal information to any third parties. Additionally, you may contact our legal department for further clarification about your rights as a California consumer by using this Exercise My Rights link. If you have enabled privacy controls on your browser (such as a plugin), we have to take that as a valid request to opt-out. Therefore we would not be able to track your activity through the web. This may affect our ability to personalize ads according to your preferences.']",[],[]
94,334,dollardays_334,['Do Not Sell My Information'],[],[],[],[]
95,110,biglots_110,['California Customers Only: Do Not Sell My Info'],[],[],[],[]
96,318,com_318,[],[],[],[],[]
97,13,marthastewart_13,['Do Not Sell My Personal Information'],[],[],[],[]
98,112,ashleyfurniture_112,[],[],[''],[],[]
99,322,nextag_322,[],[],[],[],[]
100,329,alibaba_329,[],[],[],[],[]
101,76,walgreens_76,"['', 'Do Not Sell or Share My Personal Information ']","['Your Privacy Choices ', '']","['To opt out of offline sales or sharing of your data, click on ”Submit data request” below and follow the prompts.', 'You trust us with your health and wellness needs, and we take that responsibility seriously. That includes making sure your data is safe and secure, and that you have control. Recent updates to state privacy laws provide consumers with more transparency and options related to their data. Residents of California and Virginia can request a report of their data and how it has been used, request data correction, or request data deletion by clicking on “Submit data request” below and following the prompts. To opt out of the sale or sharing of your data, select the “Sale and Sharing” tab.\n', 'To opt out of the sale or sharing of your data at a browser level, you can choose not to allow advertising cookies. Advertising cookies are used by Walgreens, in collaboration with our advertising partners, to provide you with a personalized experience. Data collected through advertising cookies may be used by our advertising partners to build a profile of your interests and are based on uniquely identifying your browser and device. To disable advertising cookies and opt out of the sale or sharing of your data at a browser level, update your browser settings or select “No” in the toggle above.', 'Offline Opt out', 'Opt out of Sale and Sharing', 'Browser Level Opt out']",[],[]
102,108,la-z-boy_108,[],[],[],[],[]
103,206,petco_206,"['Do Not Sell or Share My Personal Information for Targeted Advertising', 'Do Not Sell or Share My Personal Information for Targeted Advertising ']",['Your Privacy Choices'],"['We use cookies and other digital tools to operate this site, perform analytics, and for targeted advertising, which may be considered a ""sale"" or ""sharing"" of personal information for cross-context behavioral advertising under applicable privacy laws. In addition, we may collect your precise geolocation data, which is considered ""Sensitive Personal Information"" under some privacy laws. You have the right to opt out of the sale or sharing of your personal information for targeted advertising. You also have the right to request that we limit the use and disclosure of your Sensitive Personal Information. You can read more about your rights in our ', 'In order to perform targeted advertising, we share personal information with third parties in exchange for valuable consideration. To opt out of this, click the blue button. When you are opted out, the button will change to grey. You will need to submit a separate request on each browser and device you use to visit our site. Please note that after you submit your request, you may still see advertising that is designed for a general audience.']",[],[]
104,328,aliexpress_328,[],[],[],[],[]
105,326,kelkoo_326,[''],[],[],[],[]
106,88,shape_88,['Do Not Sell My Personal Information'],[],[],[],[]
107,276,superpages_276,['Do Not Sell My Personal Information'],[],[],[],[]
108,307,goodrx_307,[],"['', 'Your Privacy Choices']",[],[],[]
