,Index,Text,Dates
187,255,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
188,256,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
189,257,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
190,258,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
191,259,Do not sell,['2023-01-30']
192,260,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
193,261,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
194,262,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
195,263,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
196,264,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
197,265,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
198,266,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
199,267,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
200,268,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
201,269,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
202,272,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
203,275,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
204,276,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
205,278,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
206,279,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
207,280,Do not sell,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
208,281,No,"['2023-01-13', '2023-01-17', '2023-01-30']"
209,282,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
210,284,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
211,285,No,"['2023-01-05', '2023-01-13', '2023-01-17', '2023-01-30']"
