,Index,Text,Dates
291,399,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
292,400,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
293,401,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
294,402,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
295,403,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
296,405,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
297,406,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
298,408,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
299,409,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
300,410,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
301,411,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
302,412,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
303,413,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
304,414,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
305,415,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
306,416,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
307,417,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
308,418,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
309,419,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
310,420,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
311,421,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
312,422,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
313,423,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
314,424,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
315,425,Do not sell or share,"['2023-03-05', '2023-03-17', '2023-03-30']"
316,426,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
317,427,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
318,428,Do not sell,"['2023-03-05', '2023-03-17', '2023-03-30']"
319,429,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
320,430,No,"['2023-03-05', '2023-03-30']"
321,431,No,"['2023-03-05', '2023-03-30']"
322,432,No,"['2023-03-05', '2023-03-30']"
323,433,Do not sell or share,"['2023-03-05', '2023-03-30']"
324,434,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
325,435,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
326,436,No,"['2023-03-05', '2023-03-17', '2023-03-30']"
327,437,No,"['2023-03-05', '2023-03-30']"
328,438,No,"['2023-03-05', '2023-03-30']"
329,439,No,"['2023-03-05', '2023-03-30']"
330,440,No,"['2023-03-05', '2023-03-30']"
331,441,No,"['2023-03-05', '2023-03-30']"
332,442,No,"['2023-03-05', '2023-03-30']"
333,443,No,"['2023-03-05', '2023-03-30']"
334,444,Do not sell,"['2023-03-05', '2023-03-30']"
335,445,Do not sell or share,"['2023-03-05', '2023-03-30']"
336,446,Do not sell or share,"['2023-03-05', '2023-03-30']"
337,448,No,"['2023-03-05', '2023-03-30']"
338,449,No,"['2023-03-05', '2023-03-30']"
339,450,No,"['2023-03-05', '2023-03-30']"
340,451,No,"['2023-03-05', '2023-03-30']"
341,452,No,"['2023-03-05', '2023-03-30']"
342,453,No,"['2023-03-05', '2023-03-30']"
343,454,Do not sell,"['2023-03-05', '2023-03-30']"
344,455,No,"['2023-03-05', '2023-03-30']"
345,456,No,['2023-03-30']
346,457,No,"['2023-03-05', '2023-03-30']"
347,458,No,"['2023-03-05', '2023-03-30']"
348,459,No,"['2023-03-05', '2023-03-30']"
349,460,No,"['2023-03-05', '2023-03-30']"
