,Index,Text,Dates
102,447,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
103,469,"['Do not sell', 'No']","['2023-03-05', '2023-03-30']"
104,485,"['No', 'Ambiguous']","['2023-03-05', '2023-03-30']"
105,487,"['Do not sell', 'Ambiguous']","['2023-03-05', '2023-03-30']"
106,488,"['No', 'Ambiguous']","['2023-03-05', '2023-03-30']"
107,489,"['No', 'Ambiguous']","['2023-03-05', '2023-03-30']"
108,492,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
109,493,"['Ambiguous', 'Do not sell']","['2023-03-05', '2023-03-30']"
110,500,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
111,501,"['Do not sell', 'Ambiguous']","['2023-03-05', '2023-03-30']"
112,504,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
113,524,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
114,525,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
115,530,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
116,544,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
117,552,"['No', 'Ambiguous']","['2023-03-05', '2023-03-30']"
118,557,"['Do not sell', 'Ambiguous']","['2023-03-05', '2023-03-30']"
119,559,"['No', 'Do not sell or share']","['2023-03-05', '2023-03-30']"
120,566,"['Do not sell', 'Ambiguous']","['2023-03-05', '2023-03-30']"
121,569,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
122,572,"['Ambiguous', 'Opt out']","['2023-03-05', '2023-03-30']"
123,573,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
124,586,"['No', 'Privacy Choice']","['2023-03-05', '2023-03-30']"
