,Unnamed: 0,url,Index,2023-02-23 Selenium,2023-02-17 Selenium,2023-01-14 Selenium,2023-02-08 Selenium
605,605,https://www.tasteofhome.com/,11,DO NOT SELL,,Do Not Sell My Personal Information – CA Residents,
607,607,https://www.marthastewart.com/,13,,California Do Not Sell,California Do Not Sell,California Do Not Sell
611,611,https://www.grubhub.com/,17,,Do Not Sell My Information,Do Not Sell My Information,Do Not Sell My Information
612,612,https://www.grubhub.com/?utm_source=eat24hours.com&utm_medium=grubhub-owned-delivery-properties&utm_campaign=growth_redirect-eat24-legacy_201811&utm_content=nopromo_,18,,Do Not Sell My Information,Do Not Sell My Information,Do Not Sell My Information
613,613,https://www.seamless.com/,19,Do Not Sell My Personal Information,Do Not Sell My Information,Do Not Sell My Information,Do Not Sell My Information
615,615,https://postmates.com/,21,,Do not sell or share my personal information,Do not sell or share my personal information,Do not sell or share my personal information
616,616,https://www.doordash.com/,22,,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information
618,618,https://www.trycaviar.com/,24,Do Not Sell,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information
619,619,https://www.beyondmenu.com/,25,Do Not Sell,,,
620,620,https://www.safeway.com/,26,Do Not Sell My Personal Information,,,
624,624,http://lueapron.com/,30,Do not sell my info,,,
625,625,https://www.berries.com/,31,,Do Not Sell My Personal Information,Do Not Sell My Personal Information,Do Not Sell My Personal Information
626,626,https://www.harryanddavid.com/,32,,,Do Not Sell or Share My Personal Information,
633,633,https://www.mcdonalds.com/us/en-us.html,39,Do Not Sell My Personal Information,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information
634,634,https://order.subway.com/en-US,40,,Do Not Sell My Personal Information,Do Not Sell My Personal Information,Do Not Sell My Personal Information
635,635,https://www.olivegarden.com/home,41,,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information
637,637,https://www.jimmyjohns.com/,43,Do Not Sell My Information,Do Not Sell My Info,Do Not Sell My Info,Do Not Sell My Info
638,638,https://www.tacobell.com/,44,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,
639,639,https://www.nj.bet365.com/?_h=fKLugCH5idsD_yZ-Lq4vdA%3D%3D#/HO/,45,Do Not Sell My Personal Information,,,
640,640,https://www.flashscore.com/,46,Do Not Sell My Personal Infomation,,,
